price,image_link,address,city,zone,summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A3B0B4D1C7EFCBD1B&t=pi&w=320&h=240&sm=c,"8097, Rue  Simonne",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/21780808?view=Summary
150 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C4A766D14A13DDD14&t=pi&w=320&h=240&sm=c,"1700G, Rue  Viola-Desmond",Montréal (LaSalle),,/fr/terrain~a-louer~montreal-lasalle/19275008?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E72F5AD1FC1CEED1F&t=pi&w=320&h=240&sm=c,"1155, Rue de la Montagne, app. 404",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/condo~a-vendre~montreal-ville-marie/26481749?view=Summary
925 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A2A36DDD69AB11D1D&t=pi&w=320&h=240&sm=c,"31, 69e Avenue",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/16476177?view=Summary
885 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C6B8E8DD59D224D10&t=pi&w=320&h=240&sm=c,"6474, boulevard  Maurice-Duplessis, app. 6",Montréal (Montréal-Nord),,/fr/condo-appartement~a-louer~montreal-montreal-nord/15401778?view=Summary
775 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20C993CDD95A598D1F&t=pi&w=320&h=240&sm=c,"8541, Rue  Hochelaga, app. 2",Montréal (Mercier/Hochelaga-Maisonneuve),Quartier Mercier,/fr/condo-appartement~a-louer~montreal-mercier-hochelaga-maisonneuve/12480186?view=Summary
300 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D24FB102DD858B3BD1B&t=pi&w=320&h=240&sm=c,"1450, boulevard  René-Lévesque Ouest, app. #160",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/condo-appartement~a-louer~montreal-ville-marie/11446488?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20E5412D190AED9D11&t=pi&w=320&h=240&sm=c,"10338, Avenue  Audoin",Montréal (Montréal-Nord),,/fr/condo-appartement~a-louer~montreal-montreal-nord/28796171?view=Summary
180 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E8F441D104D951D12&t=pi&w=320&h=240&sm=c,"551S, Rue de la Montagne",Montréal (Ville-Marie),Quartier Centre,/fr/terrain~a-louer~montreal-ville-marie/24251361?view=Summary
250 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D244A842D1191609D10&t=pi&w=320&h=240&sm=c,"1450, boulevard  René-Lévesque Ouest, app. P180",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/condo-appartement~a-louer~montreal-ville-marie/18554747?view=Summary
210 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2ABF58CD1200DB0D1E&t=pi&w=320&h=240&sm=c,"1450S, boulevard  René-Lévesque Ouest",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/terre~a-louer~montreal-ville-marie/20410503?view=Summary
895 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2ABFBEDD1807C98D1A&t=pi&w=320&h=240&sm=c,"3495, Rue de la Montagne, app. 12",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/condo-appartement~a-louer~montreal-ville-marie/27772090?view=Summary
960 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A042C5D1C577E8D1A&t=pi&w=320&h=240&sm=c,"2875, Avenue  Ekers, app. 14",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Côte-des-Neiges,/fr/condo-appartement~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/21941338?view=Summary
999 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A6D0E4D1C80EE8D1E&t=pi&w=320&h=240&sm=c,"3300, boulevard  Cavendish, app. 305",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Notre-Dame-de-Grâce,/fr/loft-studio~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/21656922?view=Summary
850 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2CEEF26D12E8808D14&t=pi&w=320&h=240&sm=c,"4991, Rue de Paisley, app. 4",Montréal (Saint-Léonard),,/fr/condo-appartement~a-louer~montreal-saint-leonard/20294266?view=Summary
695 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2012EDBD1E9D453D1B&t=pi&w=320&h=240&sm=c,"3882, Rue  Evelyn",Montréal (Verdun/Île-des-Soeurs),Quartier Verdun,/fr/condo-appartement~a-louer~montreal-verdun-ile-des-soeurs/22741741?view=Summary
975 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A40AB8DD3B2B33D14&t=pi&w=320&h=240&sm=c,"9072, Rue  Descartes",Montréal (Saint-Léonard),,/fr/condo-appartement~a-louer~montreal-saint-leonard/14170333?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A61F9BD1EF26ACD11&t=pi&w=320&h=240&sm=c,"771 - 777, 41e Avenue, app. 771",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/22626148?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20D022DD1C127F1D1E&t=pi&w=320&h=240&sm=c,"10045, Rue  Clark, app. 2",Montréal (Ahuntsic-Cartierville),Quartier Ahuntsic Ouest,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/21052561?view=Summary
985 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20C6B0CDD6E3F66D1F&t=pi&w=320&h=240&sm=c,"448, 32e Avenue",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/16112127?view=Summary
850 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20E9519D1E04046D12&t=pi&w=320&h=240&sm=c,"9320, Avenue  Olivier-Maurault",Montréal (Ahuntsic-Cartierville),Quartier Ahuntsic Centre,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/22488879?view=Summary
795 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C4B9F5DD8149E0D1F&t=pi&w=320&h=240&sm=c,"135, Rue du Port, app. 200",Montréal (Ville-Marie),Quartier Vieux-Montréal,/fr/loft-studio~a-louer~montreal-ville-marie/10562391?view=Summary
995 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E5527ADD7B5B22D1C&t=pi&w=320&h=240&sm=c,"2060, Rue du Fort, app. 5",Montréal (Ville-Marie),Quartier Centre Ouest,/fr/condo-appartement~a-louer~montreal-ville-marie/13166643?view=Summary
650 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D202E8F4D12B3292D1A&t=pi&w=320&h=240&sm=c,"2569, Rue  Prieur Est",Montréal (Ahuntsic-Cartierville),Quartier Ahuntsic Est,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/20501427?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20C710AD1C503F4D1E&t=pi&w=320&h=240&sm=c,"1155, Rue de la Montagne, app. 203",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/condo-appartement~a-louer~montreal-ville-marie/21921170?view=Summary
950 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20C8D3ED1DE36CFD11&t=pi&w=320&h=240&sm=c,"491, Avenue  Tremblay",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/17162057?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C63532DD30968AD10&t=pi&w=320&h=240&sm=c,"2205, Rue  Saint-Marc, app. 1C",Montréal (Ville-Marie),Quartier Centre Ouest,/fr/condo-appartement~a-louer~montreal-ville-marie/14139302?view=Summary
960 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20C1283DD86EBFAD1A&t=pi&w=320&h=240&sm=c,"2003, Rue  Alice-Nolin",Montréal (Ahuntsic-Cartierville),Quartier Nouveau Bordeaux,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/11491478?view=Summary
850 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D201DCB5D1F671AAD14&t=pi&w=320&h=240&sm=c,"3281, Rue  Ontario Est, app. 2",Montréal (Mercier/Hochelaga-Maisonneuve),Quartier Hochelaga-Maisonneuve,/fr/condo-appartement~a-louer~montreal-mercier-hochelaga-maisonneuve/27246950?view=Summary
850 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2AB69FFDDF66E2CD1C&t=pi&w=320&h=240&sm=c,"9071, 25e Avenue",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Saint-Michel,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/10482996?view=Summary
825 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D201305FD1EB02AFD11&t=pi&w=320&h=240&sm=c,"8695, Rue  Saint-Denis, app. 4",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Villeray,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/22573929?view=Summary
675 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20D80B9DD6B66F1D1B&t=pi&w=320&h=240&sm=c,"7027, Avenue de Belfroy",Montréal (Anjou),,/fr/condo-appartement~a-louer~montreal-anjou/16318353?view=Summary
950 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A89050DD70FDE1D1C&t=pi&w=320&h=240&sm=c,"4206, Rue  Bélanger",Montréal (Rosemont/La Petite-Patrie),Quartier Nouveau-Rosemont,/fr/condo-appartement~a-louer~montreal-rosemont-la-petite-patrie/13078609?view=Summary
950 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A3FC66D1ACA312D11&t=pi&w=320&h=240&sm=c,"2104, Rue  Robidoux",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/23358739?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D204BBCBD18BD3F2D14&t=pi&w=320&h=240&sm=c,"7365, boulevard  Shaughnessy, app. 1A",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Saint-Michel,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/27790739?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C94ED5D1F5BE6ED1B&t=pi&w=320&h=240&sm=c,"5855, Rue de Verdun, app. 1",Montréal (Verdun/Île-des-Soeurs),Quartier Verdun,/fr/condo-appartement~a-louer~montreal-verdun-ile-des-soeurs/27166197?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A7A5ECD1CB286AD1F&t=pi&w=320&h=240&sm=c,"926, Avenue  Sainte-Croix, app. 108",Montréal (Saint-Laurent),Quartier Vieux Saint-Laurent,/fr/condo-appartement~a-louer~montreal-saint-laurent/21510902?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C6594CD1F2A84DD1A&t=pi&w=320&h=240&sm=c,"6507, 44e Avenue",Montréal (Rosemont/La Petite-Patrie),Quartier Nouveau-Rosemont,/fr/condo-appartement~a-louer~montreal-rosemont-la-petite-patrie/26438176?view=Summary
625 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D225915EDD86CB35D1B&t=pi&w=320&h=240&sm=c,"4240, Rue  Forest, app. 1",Montréal (Montréal-Nord),,/fr/condo-appartement~a-louer~montreal-montreal-nord/11487454?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20278A7DDF3EED7D1A&t=pi&w=320&h=240&sm=c,"2295, boulevard de la Côte-Vertu, app. 104",Montréal (Saint-Laurent),Quartier Saint-Laurent Ouest,/fr/condo-appartement~a-louer~montreal-saint-laurent/10310924?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20DC0F2DD9EB1A0D14&t=pi&w=320&h=240&sm=c,"5739, Avenue de Darlington, app. 1",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Côte-des-Neiges,/fr/condo-appartement~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/11895143?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2EF5684D1C6EE21D1C&t=pi&w=320&h=240&sm=c,"1665, boulevard  Desmarchais, app. 4",Montréal (Le Sud-Ouest),Quartier Saint-Paul/Émard,/fr/condo-appartement~a-louer~montreal-le-sud-ouest/21976369?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2AEC43EDD3C1030D1B&t=pi&w=320&h=240&sm=c,"792, Avenue  Ogilvy",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Parc-Extension,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/13899735?view=Summary
300 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2478BBDDDFF633BD1F&t=pi&w=320&h=240&sm=c,"1450V, boulevard  René-Lévesque Ouest",Montréal (Ville-Marie),Quartier Mille Carré Doré,/fr/terrain~a-louer~montreal-ville-marie/10091992?view=Summary
700 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A71F30D12DC10CD1F&t=pi&w=320&h=240&sm=c,"1840, Rue  Senkus, app. 101",Montréal (LaSalle),,/fr/condo-appartement~a-louer~montreal-lasalle/19939700?view=Summary
975 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2EFFF0AD14B5C49D1B&t=pi&w=320&h=240&sm=c,"105, 11e Avenue",Montréal (Lachine),Quartier Est,/fr/condo-appartement~a-louer~montreal-lachine/19457067?view=Summary
850 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2AA7BBDDD533197D12&t=pi&w=320&h=240&sm=c,"2035, Rue  Chomedey, app. 6",Montréal (Ville-Marie),Quartier Centre Ouest,/fr/condo-appartement~a-louer~montreal-ville-marie/15585724?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A95DFCDDF1576BD1E&t=pi&w=320&h=240&sm=c,"3069, Rue  Villeray",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Saint-Michel,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/9563384?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E15B49D1E2BD9CD11&t=pi&w=320&h=240&sm=c,"1558, Rue  De Salaberry",Montréal (Ahuntsic-Cartierville),Quartier Nouveau Bordeaux,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/22249652?view=Summary
985 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C03773D11201C4D1E&t=pi&w=320&h=240&sm=c,"6740, boulevard  Décarie, app. 405",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Côte-des-Neiges,/fr/condo-appartement~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/18051394?view=Summary
950 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E57239D1C69FA5D1C&t=pi&w=320&h=240&sm=c,"12067, boulevard  Lacordaire",Montréal (Montréal-Nord),,/fr/condo-appartement~a-louer~montreal-montreal-nord/22002030?view=Summary
660 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20204E9DD3F8966D10&t=pi&w=320&h=240&sm=c,"9428, Rue  Basile-Routhier",Montréal (Ahuntsic-Cartierville),Quartier Ahuntsic Ouest,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/14265343?view=Summary
975 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2C037D2D1D08EB3D1B&t=pi&w=320&h=240&sm=c,"6740, boulevard  Décarie, app. 210",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Côte-des-Neiges,/fr/condo-appartement~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/17278349?view=Summary
600 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D204010DD1031DC2D10&t=pi&w=320&h=240&sm=c,"7433, boulevard  Pie-IX, app. 6",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Saint-Michel,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/24973379?view=Summary
